127.0.0.1 - - [30/May/2024:14:28:16 -0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/May/2024:14:28:23 -0700] "GET /employee_management/ HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [30/May/2024:14:28:37 -0700] "GET /employee_management/new HTTP/1.1" 200 2552
0:0:0:0:0:0:0:1 - - [30/May/2024:14:28:51 -0700] "POST /employee_management/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:14:28:52 -0700] "GET /employee_management/list HTTP/1.1" 200 2996
0:0:0:0:0:0:0:1 - - [30/May/2024:14:29:10 -0700] "GET /employee_management/new HTTP/1.1" 200 2552
0:0:0:0:0:0:0:1 - - [30/May/2024:14:29:39 -0700] "POST /employee_management/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:14:29:39 -0700] "GET /employee_management/list HTTP/1.1" 200 3903
0:0:0:0:0:0:0:1 - - [30/May/2024:14:29:52 -0700] "GET /employee_management/new HTTP/1.1" 200 2552
0:0:0:0:0:0:0:1 - - [30/May/2024:14:30:14 -0700] "POST /employee_management/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:14:30:14 -0700] "GET /employee_management/list HTTP/1.1" 200 4814
0:0:0:0:0:0:0:1 - - [30/May/2024:14:30:18 -0700] "GET /employee_management/edit?id=3 HTTP/1.1" 200 2699
0:0:0:0:0:0:0:1 - - [30/May/2024:14:30:24 -0700] "POST /employee_management/update HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:14:30:24 -0700] "GET /employee_management/list HTTP/1.1" 200 4809
0:0:0:0:0:0:0:1 - - [30/May/2024:14:30:29 -0700] "GET /employee_management/delete?id=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:14:30:29 -0700] "GET /employee_management/list HTTP/1.1" 200 3891
0:0:0:0:0:0:0:1 - - [30/May/2024:14:30:36 -0700] "GET /employee_management/new HTTP/1.1" 200 2552
0:0:0:0:0:0:0:1 - - [30/May/2024:14:30:41 -0700] "POST /employee_management/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:14:30:41 -0700] "GET /employee_management/list HTTP/1.1" 200 4809
0:0:0:0:0:0:0:1 - - [30/May/2024:14:31:03 -0700] "GET /employee_management/list HTTP/1.1" 200 4809
0:0:0:0:0:0:0:1 - - [30/May/2024:14:31:05 -0700] "GET /employee_management/new HTTP/1.1" 200 2552
0:0:0:0:0:0:0:1 - - [30/May/2024:14:31:21 -0700] "POST /employee_management/insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/May/2024:14:31:22 -0700] "GET /employee_management/list HTTP/1.1" 200 5704
0:0:0:0:0:0:0:1 - - [30/May/2024:14:33:56 -0700] "GET /employee_management/list HTTP/1.1" 200 5704
